firma;website;notiz;manual_review;tier;trust;gap;voice_fit;google_rating;google_reviews;reasons;score;ort;adresse;telefon;maps_url;query;discovered;place_id
Wärmetec GmbH;http://www.waermetec.ch/;;;COLD;5;2;2;4.8;23;"Trust 5: 4.8★ × 23 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Wülflingerstrasse 272;Wülflingerstrasse 272, 8408 Winterthur;052 202 44 55;https://maps.google.com/?cid=5306099092027619293&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJ-TxBVlSZmkcR3TdU4wINo0k
Steimer Haustechnik AG;http://www.steimer-haustechnik.ch/;;;COLD;5;2;2;4.8;13;"Trust 5: 4.8★ × 13 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Schützenstrasse 122;Schützenstrasse 122, 8400 Winterthur;052 209 06 10;https://maps.google.com/?cid=16807380509822954070&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJQ3h7CX2ZmkcRVirSPIbPP-k
Sager Haustechnik AG;https://www.sagerag.ch/;;;COLD;5;2;2;4.7;14;"Trust 5: 4.7★ × 14 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Wässerwiesenstrasse 53;Wässerwiesenstrasse 53, 8408 Winterthur;052 222 19 32;https://maps.google.com/?cid=15274839118390661346&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJQWkcnlaZmkcR4pDqpD8h-9M
Hunziker Partner AG Technik im Gebäude;http://www.hunzikerwin.ch/;;;COLD;5;2;2;4.6;60;"Trust 5: 4.6★ × 60 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Zürcherstrasse 14;Zürcherstrasse 14, 8401 Winterthur;052 235 05 35;https://maps.google.com/?cid=7664037668824653452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJMQTXnJaZmkcRjJ6Ba6chXGo
SANI-THERM Haustechnik AG;http://www.sani-therm.ch/;;;COLD;4;2;2;4.4;24;"Trust 4: 4.4★ × 24 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Nordstrasse 13;Nordstrasse 13, 8424 Embrach;052 301 22 22;https://maps.google.com/?cid=2902412955725057270&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJgXTw63-emkcR9sx7oTRxRyg
Meissner Sanitärtechnik AG;http://www.meissner-sanitaertechnik.ch/;;;COLD;4;2;2;4.4;5;"Trust 4: 4.4★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Büelrainstrasse 3;Büelrainstrasse 3, 8400 Winterthur;052 202 28 71;https://maps.google.com/?cid=10067506511733410706&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJJ18s752ZmkcRkkvNHdX3tos
Walti Haustechnik GmbH;http://www.walti-haustechnik.ch/;;;COLD;4;2;2;4.2;6;"Trust 4: 4.2★ × 6 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Klosterstrasse 26;Klosterstrasse 26, 8406 Winterthur;052 202 23 44;https://maps.google.com/?cid=11165254653198347103&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJgYBCdhGZmkcRXyuqdvPz8po
Kradolfer Sanitär;http://kradolfer-haustechnik.ch/;;;COLD;4;2;2;4.2;5;"Trust 4: 4.2★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;St. Gallerstrasse 4;St. Gallerstrasse 4, 8488 Turbenthal;079 857 04 40;https://maps.google.com/?cid=16448270611725068092&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJd2vIBJ6XmkcRPKdehfn-Q-Q
Home HwS GmbH;https://homehws.ch/;;;COLD;5;2;2;5;10;"Trust 5: 5★ × 10 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Hegifeldstrasse 1A;Hegifeldstrasse 1A, 8404 Winterthur;052 243 33 90;https://maps.google.com/?cid=560252768855822181&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Winterthur;2026-06-16;ChIJV-9JVKmZmkcRZY8UyOxqxgc
Wisi Haustechnik AG;https://www.wisi-haustechnik.ch/;;;COLD;5;2;2;4.9;29;"Trust 5: 4.9★ × 29 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Im Heidenloch 4;Im Heidenloch 4, 8352 Elsau;052 363 27 27;https://maps.google.com/?cid=4216913113464132314&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Winterthur;2026-06-16;ChIJ4XY6CqOQmkcR2lK3cCJ8hTo
AQUA-Sanitär AG;http://www.aqua-sanitär.ch/;;;COLD;5;2;2;4.9;44;"Trust 5: 4.9★ × 44 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Riedikerstrasse 63b;Riedikerstrasse 63b, 8616 Riedikon;044 984 02 02;https://maps.google.com/?cid=2556684179699226606&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Winterthur;2026-06-16;ChIJv2pUrqikmkcR7lfVLbcqeyM
W. Rokitzky AG;https://www.rokitzky.ch/;;;COLD;2;2;2;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Riedhofstrasse 67;Riedhofstrasse 67, 8408 Winterthur;052 551 88 99;https://maps.google.com/?cid=11090045647776745971&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Winterthur;2026-06-16;ChIJ_2ak_3SbmkcR84mZUsLB55k
Heizungsmacher AG;https://www.heizungsmacher.ch/;;;COLD;5;2;2;5;18;"Trust 5: 5★ × 18 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Technoparkstrasse 2;Technoparkstrasse 2, 8406 Winterthur;044 312 32 00;https://maps.google.com/?cid=13730888391967290132&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Winterthur;2026-06-16;ChIJBTsYOcOZmkcRFLO-PT7qjb4
Hälg & Co. AG;https://haelg.ch/angebot/anlagenbau/winterthur/;;;COLD;4;2;2;4.1;18;"Trust 4: 4.1★ × 18 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Hofackerstrasse 15;Hofackerstrasse 15, 8409 Winterthur;052 303 46 10;https://maps.google.com/?cid=9352488220546994844&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Winterthur;2026-06-16;ChIJvxJr6P6ZmkcRnJK6J3y2yoE
E3 HLK AG;http://www.e3-hlk.ch/;;;COLD;4;2;2;5;6;"Trust 4: 5★ × 6 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Zürcherstrasse 322;Zürcherstrasse 322, 8406 Winterthur;052 245 00 80;https://maps.google.com/?cid=16854599839967937491&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Winterthur;2026-06-16;ChIJ1V2kVnKZmkcR0wOlREGR5-k
Pestalozzi Haustechnik - Haustechcenter Winterthur;https://www.pestalozzi-haustechnik.ch/de/winterthur.html;;;COLD;4;2;2;5;5;"Trust 4: 5★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Bürglistrasse 29;Bürglistrasse 29, 8400 Winterthur;052 223 21 00;https://maps.google.com/?cid=7855513714433389865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Winterthur;2026-06-16;ChIJd2bN7WSZmkcRKfUCXRpkBG0
Ari Haustechnik GmbH;https://www.arihaustechnik.ch/;;;COLD;2;2;2;3;2;"Trust 2: 2 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Wallrütistrasse 119a;Wallrütistrasse 119a, 8404 Winterthur;076 455 83 55;https://maps.google.com/?cid=5997983723528984945&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Winterthur;2026-06-16;ChIJu8TkaFibmkcRcRmF-WoePVM
Huber Haustechnik GmbH;http://www.huber-haustechnik.ch/;;;COLD;5;2;2;4.9;16;"Trust 5: 4.9★ × 16 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Dorfstrasse 19;Dorfstrasse 19, 8352 Elsau;052 363 14 86;https://maps.google.com/?cid=12718230212785627357&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Winterthur;2026-06-16;ChIJw20bQemRmkcR3WC6lP46gLA
Zeindler Haustechnik - Bad & Warm - Badausstellung;http://www.badundwarm.ch/;;;COLD;2;2;2;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Tösstalstrasse 230;Tösstalstrasse 230, 8405 Winterthur;052 212 01 22;https://maps.google.com/?cid=13104957664741569452&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Winterthur;2026-06-16;ChIJ8258WDmZmkcRrDN0I5Ap3rU
Hibatech AG - Ihr Spezialist für Badewannenrenovation, Badewannentüren & Hilfsmittel;https://www.hibatech.ch/;;;COLD;5;2;2;4.7;29;"Trust 5: 4.7★ × 29 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Gernstrasse 43;Gernstrasse 43, 8409 Winterthur;052 337 40 03;https://maps.google.com/?cid=17804563872974288704&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Winterthur;2026-06-16;ChIJ1baXef-ZmkcRQLdihYKEFvc
Schorr Sanitär GmbH;https://www.schorr.ch/;;;COLD;5;2;1;4.9;72;"Trust 5: 4.9★ × 72 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Grenzstrasse 11;Grenzstrasse 11, 8406 Winterthur;052 202 10 92;https://maps.google.com/?cid=13616556913789447002&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJnxIapBKZmkcRWitPll6697w
Elto AG Sanitär Winterthur | Sanitär - Heizung - Haustechnik;https://eltoag.ch/;;;COLD;5;2;2;4.8;17;"Trust 5: 4.8★ × 17 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen); M2+1: 3 Gewerke im Namen; Kein Telefon";4;Stadthausstrasse 103;Stadthausstrasse 103, 8400 Winterthur;;https://maps.google.com/?cid=18377506337543699295&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJcahUdEeZmkcRXzvIUqUECv8
Intech Sanitär GmbH;http://www.intech-sanitaer.ch/;;;COLD;3;2;1;5;3;"Trust 3: 5★ × 3 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;Tössfeldstrasse 37;Tössfeldstrasse 37, 8406 Winterthur;078 244 71 19;https://maps.google.com/?cid=9686208165782859163&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJgYN_YzKZmkcRm635zQFTbIY
Paul Herzog AG;http://www.paulherzogag.ch/;;;COLD;3;2;1;3.9;18;"Trust 3: 3.9★ × 18 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Papiermühleweg 19;Papiermühleweg 19, 8408 Winterthur;052 222 91 21;https://maps.google.com/?cid=9705877065014304001&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJhR7rllGZmkcRAd3JRcQzsoY
BADEKO - Badplanung & Montage;https://badeko.ch/;;;COLD;4;2;1;5;7;"Trust 4: 5★ × 7 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7";4;Mattenbachstrasse 8;Mattenbachstrasse 8, 8400 Winterthur;052 551 02 12;https://maps.google.com/?cid=11814285682172805046&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Winterthur;2026-06-16;ChIJeaBxzEmZmkcRtr_ksDvG9KM
arbatherm ag;http://www.arbatherm.ch/;;;COLD;3;2;1;4.3;4;"Trust 3: 4.3★ × 4 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Hard 1;Hard 1, 8408 Winterthur;052 222 90 21;https://maps.google.com/?cid=11194527422498756407&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Winterthur;2026-06-16;ChIJD67cyAOcmkcRN1doLmHzWps
Russo Haustechnik Planung GmbH;https://www.russo-htp.ch/;;;COLD;2;2;1;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+1: keine Öffnungszeiten (Standard angenommen)";4;Lagerpl. 21;Lagerpl. 21, 8400 Winterthur;052 555 02 02;https://maps.google.com/?cid=9156235485779676364&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Winterthur;2026-06-16;ChIJY95jlXOZmkcRzEy5mal7EX8
Sanitär-Shop Winterthur, Sanitas Troesch;https://www.sanitastroesch.ch/shop-winterthur;;;COLD;4;2;2;4.3;42;"Trust 4: 4.3★ × 42 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); Disq: Enterprise/Kette";0;Bürglistrasse 29;Bürglistrasse 29, 8400 Winterthur;052 269 13 69;https://maps.google.com/?cid=2227596423923758244&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Winterthur;2026-06-16;ChIJCb26MHmZmkcRpPTnLiUD6h4
Sanitas Troesch, Küchenausstellung & Badausstellung Winterthur;https://www.sanitastroesch.ch/winterthur;;;COLD;5;2;1;4.7;111;"Trust 5: 4.7★ × 111 Reviews; M1=2: hat Website; M2+1: erweitert, nicht 24/7; Disq: 111 Reviews — Grossbetrieb; Disq: Enterprise/Kette";0;Rudolf-Diesel-Strasse 3;Rudolf-Diesel-Strasse 3, 8404 Winterthur;052 269 13 69;https://maps.google.com/?cid=2984607762441359490&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Badumbau Winterthur;2026-06-16;ChIJv5-7Q7eZmkcRgtAwYvJ0ayk
JAKOVA Sanitär & Heizung;;;;HOT;1;5;3;;;"Trust 1: auf Maps, 0 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";9;Stöcklerstrasse 6;Stöcklerstrasse 6, 8610 Uster;044 940 06 79;https://maps.google.com/?cid=14451241881104949098&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJa0fNdvG7mkcRah-Cxuwfjcg
Mr. Werner Sunier Sanitärinstallateur;;;;HOT;1;5;3;;;"Trust 1: auf Maps, 0 Reviews; M1=5: keine Website; M2+2: Notdienst/Sanitär; M2+1: keine Öffnungszeiten (Standard angenommen)";9;Stauberbergstrasse 53;Stauberbergstrasse 53, 8610 Uster;044 940 52 41;https://maps.google.com/?cid=18445113927765658552&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Uster;2026-06-16;ChIJJRxRubKkmkcRuAsVEmQ1-v8
Urs Frühauf;;;;HOT;4;5;2;4.1;8;"Trust 4: 4.1★ × 8 Reviews; M1=5: keine Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";8;Seestrasse 157;Seestrasse 157, 8610 Uster;079 664 78 30;https://maps.google.com/?cid=4358979181606726655&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJB38Jg5WlmkcR_-v9hng0fjw
OGAD Spenglerei & Dachdeckerei;https://www.ogad.ch/;;;WARM;2;2;4;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+2: Notdienst/Sanitär; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";7;Ackerstrasse 5;Ackerstrasse 5, 8610 Uster;078 230 71 19;https://maps.google.com/?cid=11754269206821839591&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Uster;2026-06-16;ChIJh8thJ66lmkcR56LtGpGNH6M
Leutenegger Sanitär und Spenglerei AG;http://www.sanitaer-leutenegger.ch/;;;WARM;3;2;4;5;3;"Trust 3: 5★ × 3 Reviews; M1=2: hat Website; M2+1: Reparatur-nah; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";7;Forchstrasse 190;Forchstrasse 190, 8132 Hinteregg;044 984 03 27;https://maps.google.com/?cid=12243901240025510483&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Uster;2026-06-16;ChIJv1ECyhOlmkcRU3KvjE4T66k
Daniel Lang Spenglerei - Sanitär;https://www.langsanitaer.ch/;;;WARM;4;2;3;4.7;9;"Trust 4: 4.7★ × 9 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Wermatswilerstrasse 8;Wermatswilerstrasse 8, 8610 Uster;044 882 28 88;https://maps.google.com/?cid=14373607280161116093&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJJwEkZaukmkcRvc_4qqpPecc
Tobler Hans AG für sanitäre Anlagen;https://yellow.local.ch/d/zDw9ZMILjZ0ORHZUfWQdQw;;;WARM;4;4;1;5;9;"Trust 4: 5★ × 9 Reviews; M1=4: nur Verzeichnis-Link; M2+1: keine Öffnungszeiten (Standard angenommen)";6;Kanalweg 6;Kanalweg 6, 8610 Uster;043 305 92 22;https://maps.google.com/?cid=15433246506237455511&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJFVoP5aykmkcRl2xSt-3nLdY
Denzler Sanitär-Spenglerei GmbH;http://www.denzler-haustech.ch/;;;WARM;4;2;3;4.9;8;"Trust 4: 4.9★ × 8 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Zürichstrasse 56;Zürichstrasse 56, 8606 Nänikon;044 941 20 58;https://maps.google.com/?cid=10285912208193781377&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJm-RabXSjmkcRgX4-AKjmvo4
Hediger Haustechnik GmbH Heizung + Sanitär;https://www.hediger-gmbh.ch/;;;WARM;5;2;3;4.6;22;"Trust 5: 4.6★ × 22 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 3 Gewerke im Namen";6;Tannenrainstrasse 20;Tannenrainstrasse 20, 8620 Wetzikon;044 932 32 10;https://maps.google.com/?cid=10371350027866819234&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJ1wPwDMq7mkcRoko9jOZv7o8
Isenegger Sanitär & Heizung GmbH;http://www.isenegger-sanitaer.ch/;;;WARM;3;2;3;5;4;"Trust 3: 5★ × 4 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Industriestrasse 30;Industriestrasse 30, 8604 Volketswil;043 535 77 50;https://maps.google.com/?cid=9956390088484873820&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Uster;2026-06-16;ChIJ5WO8W9SjmkcRXGZcxQg0LIo
ELGE AG Heizung - Sanitär - Lüftung;http://elge.ch/;;;WARM;5;2;3;5;11;"Trust 5: 5★ × 11 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 3 Gewerke im Namen";6;Motorenstrasse 34;Motorenstrasse 34, 8620 Wetzikon;044 932 20 90;https://maps.google.com/?cid=642897932054546694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitärinstallateur Uster;2026-06-16;ChIJF3OadI67mkcRBsnxUkMI7Ag
Rudolf und Katharina Blattner;https://yellow.local.ch/d/zvDTAHoPzhDyXT6DxI4WjQ;;;WARM;2;4;1;3;2;"Trust 2: 2 Reviews; M1=4: nur Verzeichnis-Link; M2+1: keine Öffnungszeiten (Standard angenommen)";6;Breitigasse 14;Breitigasse 14, 8610 Uster;044 940 59 25;https://maps.google.com/?cid=3448906093967822817&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Heizungsinstallateur Uster;2026-06-16;ChIJYS2iwnC7mkcR4c-hwtH53C8
Sustech AG | Heizung | Lüftung | Photovoltaik | Energieoptimierung;http://www.sustech.ch/;;;WARM;4;2;3;4;6;"Trust 4: 4★ × 6 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So); M2+1: 2 Gewerke im Namen";6;Brunnenstrasse 1;Brunnenstrasse 1, 8610 Uster;044 940 74 15;https://maps.google.com/?cid=2794310408732062287&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Haustechnik Uster;2026-06-16;ChIJk8O8G6mkmkcRT7KmCINixyY
Neukom Marzolo AG;https://www.neukom-marzolo.ch/de;;;COLD;3;2;2;3.9;36;"Trust 3: 3.9★ × 36 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Industriepark 3;Industriepark 3, 8610 Uster;044 905 60 80;https://maps.google.com/?cid=14420694351858234550&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJq9WFD6OkmkcRtvT94BuZIMg
Ammann + Schmid;http://www.ammann-schmid.ch/;;;COLD;5;2;2;5;32;"Trust 5: 5★ × 32 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Freiestrasse 39;Freiestrasse 39, 8610 Uster;043 399 25 99;https://maps.google.com/?cid=8902033645454924865&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJz5NdI0SlmkcRQZzqf29gins
Sanitär Sunier Gmbh;http://www.sunier.ch/;;;COLD;4;2;2;5;5;"Trust 4: 5★ × 5 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Blindenholzstrasse 1;Blindenholzstrasse 1, 8610 Uster;044 939 12 51;https://maps.google.com/?cid=5505170585179444013&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJlcTO0LKkmkcRLdOMxXpLZkw
Bitzer Sanitär AG;http://www.bitzer-ag.ch/;;;COLD;4;2;2;5;8;"Trust 4: 5★ × 8 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Rellikonstrasse 7;Rellikonstrasse 7, 8124 Maur;044 980 18 56;https://maps.google.com/?cid=17428625215578052050&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJtRYp32akmkcR0hXy8Urq3vE
Pro Sanitär GmbH;http://www.pro-sanitaer.ch/;;;COLD;2;2;2;5;1;"Trust 2: 1 Reviews; M1=2: hat Website; M2+2: Mo-Fr Bürozeiten (Lücke abends+Sa/So)";5;Bahnstrasse 39;Bahnstrasse 39, 8610 Uster;076 682 01 01;https://maps.google.com/?cid=8398312365544526332&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA;Sanitär Uster;2026-06-16;ChIJCX5vzexbi2AR_FENrZnMjHQ
